bin_center,perfect_calibrated,mgf_off_accuracy,mgf_off_abs_gap,mgf_on_accuracy,mgf_on_abs_gap,mgf_off_errbar_x,mgf_off_mean,mgf_off_std,mgf_on_errbar_x,mgf_on_mean,mgf_on_std,mgf_off_count_raw,mgf_on_count_raw,mgf_off_count,mgf_on_count,mgf_off_mean_confidence,mgf_on_mean_confidence
0.235,0.235,0.714787133622492,0.447287133622,0.0,0.214313528692,0.225,0.544175897049862,0.455824102950138,0.25,0.5,0.5,6.86971770326318,0.0641525055474403,7,0,0.267500000000,0.214313528692
0.3,0.3,0.366598558984837,0.056707964939,0.189083204884635,0.101153062776,0.29,0.355765180843818,0.129050241364065,0.315,0.346832395359119,0.129240300629697,97.3052090806008,20.4808480986947,97,20,0.309890594046,0.290236267661
0.365,0.365,0.417154323642925,0.044408852108,0.472271510676178,0.097828663750,0.355,0.404040234314323,0.0617692613303701,0.38,0.43958131698749,0.033070312219952,101.885877963679,51.1058914884153,102,51,0.372745471535,0.374442846926
0.43,0.43,0.205428301728979,0.192071698271,0.43159882783095,0.001458086954,0.42,0.353104351124972,0.120687633676262,0.445,0.36887927017242,0.0615792020647381,23.8836306975525,44.3003262906996,24,44,0.397500000000,0.430140740877
0.495,0.495,0.28525319329438,0.178597176005,0.449464398800349,0.041527214358,0.485,0.368689210906788,0.157939249740115,0.51,0.351773936265548,0.144064923348986,6.47708894185655,50.4515102194042,6,50,0.463850369299,0.490991613159
0.56,0.56,0.249522051355582,0.277977948644,0.481394355426509,0.071686183250,0.55,0.519786327084155,0.335264544574685,0.575,0.494508444755111,0.108903959207083,2.81255383539417,18.7794567992656,3,19,0.527500000000,0.553080538676
0.625,0.625,0.714787133622492,0.076452789715,0.498499689333381,0.115364799828,0.615,0.621277974931594,0.115175914972936,0.64,0.576614047508095,0.157559131208852,6.86971770326318,12.6282728705611,7,13,0.638334343907,0.613864489162
0.69,0.69,0.691219784684136,0.001038633691,0.516745378834044,0.158003443508,0.68,0.698251977512516,0.301243936026574,0.705,0.686088184512074,0.195190865803969,12.6282728705611,14.32966416999,13,14,0.690181150994,0.674748822342
0.755,0.755,0.799173447563059,0.037613220974,1.00101638766415,0.224360170879,0.745,0.787959950890777,0.179606006022153,0.77,0.828822693001637,0.16839250934987,9.87987154071436,7.916727733681,10,8,0.761560226589,0.776656216786
0.82,0.82,0.83414435243933,0.012043765728,0.785869298968826,0.031126259467,0.81,0.856571345783895,0.066140624439904,0.835,0.78130787659366,0.135702315661182,12.1047678553522,36.4477510625661,12,36,0.822100586712,0.816995558436
0.885,0.885,0.933355289099186,0.041174014583,0.915109599598523,0.027459125691,0.875,0.865314072002963,0.0726026394713888,0.9,0.821980559438888,0.0805851286279289,29.6421858648504,57.6497041785266,30,58,0.892181274516,0.887650473907
0.95,0.95,0.820840203845097,0.109978193275,0.829202811532901,0.110163709432,0.94,0.845737967642877,0.02489776379778,0.965,0.856571345783895,0.0201462821569822,83.9558311927738,99.9227341566453,84,100,0.930818397120,0.939366520965
